z_mean,z_std,grp_mean,grp_std,row_mean,row_std,x_mean,x_std,av_ionrad_mean,av_ionrad_std,atom_rad_mean,atom_rad_std,atom_mass_mean,atom_mass_std,cal_atom_rad_mean,cal_atom_rad_std,cov_rad_mean,cov_rad_std,bp_mean,bp_std,rho_mean,rho_std,mp_mean,mp_std,mol_vol_mean,mol_vol_std,k_mean,k_std,vdw_mean,vdw_std,iupac_mean,iupac_std,val_mean,val_std,heat_fus_mean,heat_fus_std,heat_vap_mean,heat_vap_std,spec_heat_mean,spec_heat_std,ea_mean,ea_std,ie_mean,ie_std,p_mean,p_std,pet_mn_mean,pet_mn_std,mn_mean,mn_std,rsp_mean,rsp_std,av_rsp_mean,av_rsp_std,gtf,of,rho,Ehull,Ef,Eg
33.8,3.487119155,12.2,6.4,4.2,0.4,2.316,0.857008751,1.0154,0.325362936,1.49,0.585149554,76.822598,9.200603796,1.398,0.665083453,1.412,0.394684684,1031.4,1111.329222,3.9584,2.546196033,575.572,596.4878097,24.354,16.50348521,31.672,40.86187778,2.196,0.46825634,75,35.85526461,4,1.549193338,0.07415688,0.049026182,1.0161088,1.452061739,0.72538,0.272392418,2.2477368,1.367766891,9.499912,3.066439504,12.79,17.34085926,73.4,34.78850385,69.4,35.70210078,1.944,1.123807813,0.972,0.561903906,1.089141456,0.869762174,4.161,0.011,-0.892,0
36.8,10.04788535,11.6,6.8,4.4,0.8,2.266,0.893389053,1.0798,0.365766811,1.49,0.563382641,84.92271,26.31375053,1.492,0.794541377,1.486,0.482642725,976.8,1011.756176,3.6758,1.797549042,655.798,762.2270481,27.502,22.25624263,26.072,36.69685894,2.286,0.617401004,73,36.79130332,4.4,1.743559577,0.08285928,0.066449218,0.9270128,1.307502334,0.70638,0.302170928,2.245678,1.370533574,9.220366,3.303651124,16.034,21.94428454,71.8,35.63369192,67.8,36.1020775,2.07,1.218622173,1.035,0.609311086,1.044563117,1.064552661,4.165,0.067,-1.132,0
37.8,8.908422981,12.6,6.248199741,4.4,0.8,2.314,0.865554158,1.0558,0.377888555,1.48,0.565331761,87.23269,23.69890031,1.45,0.790088603,1.472,0.486226285,1028,1111.565383,4.0318,2.49091087,491.352,433.4307053,27.478,22.27814391,87.272,156.9802747,2.076,0.699073673,76,36.04996533,3.6,1.743559577,0.06752648,0.037202782,0.8462048,1.147998402,0.69366,0.313891144,2.359478,1.253247511,9.412342,3.181094643,14.954,22.26644704,74.8,34.88495378,70.8,35.02227862,1.99,1.204757237,0.995,0.602378618,1.118167094,0.928652322,4.355,0,-0.932,0.378
45.2,12.96765206,12.8,6.209669879,5.2,1.6,2.178,0.967355157,1.118,0.359084391,1.56,0.569561235,107.02349,34.50773603,1.616,0.857008751,1.592,0.507480049,956,971.3627541,3.958,2.346257531,555.798,562.2718851,29.858,20.5431647,9.472,13.9172503,2.358,0.652331204,69,39.21224299,3.8,1.6,0.06338248,0.029792334,0.8047648,1.066448235,0.65018,0.364668262,2.182878,1.446563235,9.054846,3.440352603,18.614,22.02947535,65.2,40.48901085,64.2,38.60777124,2.1776,1.269241915,1.0888,0.634620958,0.945500775,1.280860702,4.825,0.094,-1.613,0
38,15.31012737,12.8,6.209669879,4.8,1.6,2.184,0.958782561,1.06,0.249250075,1.48,0.428485706,86.46206,42.63253737,1.506,0.694826597,1.51,0.381261065,973.6,971.783021,3.7534,2.554035207,562.786,559.2782763,24.858,10.54521768,22.272,39.09177223,2.222,0.456,69.4,38.58289777,3.8,1.6,0.06387976,0.029104454,0.8314936,1.064233661,0.75318,0.302214926,2.1888468,1.439534459,9.144198,3.308425525,15.41,16.27499309,65.6,39.92793508,63.8,39.22448215,2.0536,1.069412848,1.0268,0.534706424,0.843683016,1.280860702,4.296,0.144,-1.553,0
41.6,12.22456543,12.8,6.209669879,5,1.549193338,2.184,0.958782561,1.088,0.301697862,1.57,0.587877538,97.53596,32.5534177,1.55,0.756201031,1.544,0.43051597,959.4,971.3445527,3.8886,2.410965583,557.972,561.3049809,26.822,14.47207297,13.872,22.4627749,2.278,0.528787292,69.2,38.8967865,3.8,1.6,0.06358968,0.029503592,0.8192688,1.064914151,0.67458,0.339772273,2.1857368,1.443188702,9.111492,3.356213225,16.19,17.6344379,65.4,40.20746199,64,38.91529262,2.1356,1.199545514,1.0678,0.599772757,0.892836417,1.280860702,4.537,0.129,-1.561,0
44.6,12.0266371,12.2,6.4,5.2,1.6,2.174,0.971341341,1.1316,0.360603716,1.58,0.577581163,104.91629,31.2209034,1.622,0.861728496,1.604,0.515736367,748,576.9381249,3.2966,1.08586548,439.598,329.9922545,31.85,19.86644004,10.072,14.03436696,2.362,0.655145785,69.6,38.75358048,3.8,1.6,0.05965288,0.023626833,0.5872048,0.643905596,0.65318,0.360721307,2.135278,1.508611222,9.001146,3.490302765,19.254,22.23668734,64,41.76122604,63,39.69886648,2.1844,1.273595477,1.0922,0.636797739,0.914619866,1.357870895,4.184,0,-1.973,0.937
37.2,9.558242516,12,6.511528238,4.4,0.8,2.3,0.872674051,1.0624,0.373980534,1.49,0.563382641,85.69249,25.37895231,1.472,0.791312833,1.472,0.486226285,1014.8,1085.787161,3.8226,2.081939634,581.998,614.6573172,27.474,22.28180208,23.272,31.58516513,2.284,0.616882485,74.2,36.37801534,3.8,1.6,0.06897688,0.039878136,0.9435888,1.340283638,0.70658,0.302000128,2.142678,1.498736783,9.447546,3.163165377,15.394,22.11030402,72.6,35.33610052,69,35.55277767,2.004,1.205663303,1.002,0.602831651,1.096911614,0.966024915,4.582,0.24,-0.813,0.507
36,7.375635566,14.4,3.555277767,4.2,0.4,2.498,0.566053001,0.8884,0.028295583,1.28,0.166132477,82.075,18.83749809,1.188,0.303736728,1.268,0.08908423,1295,1205.531252,4.9088,2.198071373,607.63,605.0262636,16.438,4.926493276,32.472,39.62799334,1.984,0.230095632,88.4,14.88086019,4.2,0.979795897,0.07140112,0.037206474,1.2875408,1.441034872,0.70478,0.30477783,2.1083528,1.538064762,9.826038,2.524800747,5.55,3.114321756,86.8,14.85126257,83,16,1.552,0.431527519,0.776,0.21576376,0.742543584,0.966024915,5.204,0.264,-0.408,0
30,6.511528238,12,6.511528238,4,0,2.306,0.862313168,1.0044,0.258061698,1.41,0.406693988,65.13106,19.84058695,1.362,0.58550491,1.39,0.323357387,1032.4,1085.209952,3.618,2.301573027,588.986,611.6207681,22.474,12.72079809,36.072,44.48392357,2.148,0.377910042,74.6,35.64042648,3.8,1.6,0.06947416,0.039296156,0.9703176,1.335747162,0.80958,0.194773195,2.1486468,1.492114641,9.536898,3.007505871,12.19,15.74196303,73,34.6063578,68.6,36.27450896,1.88,0.971205437,0.94,0.485602718,0.978788937,0.966024915,3.806,0.052,-0.955,0.057
